"TotalSF","OverallQual2","YearBuilt","GarageCars","LotArea","KitchenQual","GarageType","FireplaceQu","Target"
2594,"Average",1954,2,8532,"Average","Attached","Average",153000
2114,"Average",1953,1,7922,"Good","Detached","No Fireplace",109000
1152,"Average",1955,0,6040,"Fair","No Garage","No Fireplace",82000
2412,"Average",1965,2,8658,"Average","Attached","Average",160000
2678,"Average",1959,1,16905,"Average","Attached","Good",170000
1724,"Average",1983,2,9180,"Good","Attached","No Fireplace",144000
1876,"Average",1975,1,9200,"Average","Detached","No Fireplace",130250
2300,"Average",1959,1,7945,"Average","Attached","No Fireplace",141000
3504,"Above Average",2005,2,7658,"Excellent","Attached","Good",319900
3583,"Average",2003,2,12822,"Good","Attached","Excellent",239686
3312,"Above Average",2006,3,11096,"Good","Attached","No Fireplace",249700
2188,"Average",1920,0,4456,"Average","No Garage","No Fireplace",113000
1910,"Average",1966,1,7742,"Average","Attached","No Fireplace",127000
2264,"Average",1997,2,13869,"Average","Attached","No Fireplace",177000
1992,"Average",1934,2,6240,"Average","Detached","Good",114500
1632,"Average",1963,2,8472,"Average","Car Port","No Fireplace",110000
3684,"Above Average",1981,3,50271,"Good","Attached","Good",385000
1744,"Average",1955,2,7134,"Average","Detached","Average",130000
2850,"Average",1964,2,10175,"Average","Attached","Good",180500
2709,"Above Average",1999,2,2645,"Good","Attached","No Fireplace",172500
2580,"Average",2004,2,11645,"Good","Attached","No Fireplace",196500
4355,"Above Average",2006,3,13682,"Good","Built In","Good",438780
1560,"Average",1972,1,7200,"Average","Detached","No Fireplace",124900
2316,"Average",2004,2,13072,"Good","Detached","No Fireplace",158000
1641,"Average",1920,1,7200,"Fair","Detached","No Fireplace",101000
2740,"Above Average",2006,2,6442,"Good","Attached","Good",202500
2286,"Average",1921,2,10300,"Average","Detached","No Fireplace",140000
3091,"Average",1997,2,9375,"Good","Attached","No Fireplace",219500
3616,"Above Average",2004,3,9591,"Good","Built In","Good",317000
4154,"Average",1970,2,19900,"Average","Attached","Good",180000
2932,"Average",2003,2,10665,"Good","Attached","No Fireplace",226000
1494,"Average",1945,1,4608,"Average","Attached","No Fireplace",80000
3591,"Below Average",1953,2,15593,"Average","Attached","Average",225000
4446,"Average",1973,2,13651,"Average","Attached","Good",244000
1690,"Average",1982,2,7599,"Average","Detached","No Fireplace",129500
2550,"Average",1998,2,10141,"Average","Attached","Average",185000
2172,"Average",1954,2,10200,"Average","Attached","No Fireplace",144900
2445,"Average",1915,1,5790,"Average","Detached","No Fireplace",107400
1450,"Average",1973,1,1596,"Average","Built In","No Fireplace",91000
1904,"Average",1956,1,8475,"Average","Detached","No Fireplace",135750
1957,"Average",1948,1,8635,"Average","Detached","No Fireplace",127000
3536,"Average",1968,0,10778,"Average","No Garage","No Fireplace",136500
1670,"Average",1910,2,10440,"Average","Detached","No Fireplace",110000
3038,"Average",1968,1,13000,"Good","Attached","Good",193500
2574,"Average",1998,2,4500,"Average","Attached","No Fireplace",153500
3126,"Above Average",2007,3,10206,"Good","Attached","Good",245000
2130,"Average",1960,2,8892,"Average","Detached","No Fireplace",126500
1858,"Average",1995,2,8530,"Average","Built In","Average",168500
3705,"Above Average",1991,2,16059,"Good","Attached","Average",260000
2244,"Average",2005,2,11911,"Good","Built In","Good",174000
1836,"Average",2009,2,3951,"Good","Detached","No Fireplace",164500
2539,"Below Average",1915,0,8470,"Fair","No Garage","No Fireplace",85000
1980,"Average",1994,0,8070,"Average","No Garage","No Fireplace",123600
1040,"Average",1950,2,7200,"Average","Detached","No Fireplace",109900
2470,"Below Average",1961,2,8500,"Average","Attached","No Fireplace",98600
1840,"Average",1921,2,13360,"Average","Detached","No Fireplace",163500
3505,"Average",1910,2,7200,"Average","Detached","Good",133900
2610,"Average",1997,2,9337,"Good","Attached","No Fireplace",204750
2150,"Average",1993,2,9765,"Average","Built In","Average",185000
3176,"Average",1999,2,10264,"Good","Attached","No Fireplace",214000
1920,"Average",1965,1,10921,"Average","Attached","No Fireplace",94750
1293,"Average",1920,1,10625,"Average","Basement Garage","No Fireplace",83000
2175,"Average",1959,0,9320,"Average","No Garage","No Fireplace",128950
3220,"Average",1977,2,10603,"Good","Attached","Average",205000
2473,"Average",1985,2,9206,"Good","Attached","Average",178000
1535,"Average",1979,2,7018,"Average","Attached","No Fireplace",118964
2452,"Average",2009,3,10402,"Good","Attached","No Fireplace",198900
2858,"Below Average",1931,1,7758,"Average","Detached","Average",169500
3045,"Above Average",2003,2,9375,"Good","Attached","Good",250000
1688,"Average",1885,1,10800,"Average","Detached","No Fireplace",100000
1578,"Average",1948,1,6000,"Average","Detached","No Fireplace",115000
2310,"Average",1919,0,8500,"Fair","No Garage","No Fireplace",115000
3688,"Average",1977,2,11751,"Average","Attached","Average",190000
2849,"Below Average",1954,1,9525,"Average","Attached","No Fireplace",136900
1814,"Average",2000,2,7750,"Average","Built In","Average",180000
3960,"Average",2007,3,9965,"Excellent","Built In","Good",383970
4068,"Average",1953,2,21000,"Good","Basement Garage","Good",217000
3348,"Average",1945,1,7259,"Good","Detached","Average",259500
2187,"Average",1999,2,3230,"Average","Detached","Fair",176000
2184,"Average",1962,1,11616,"Average","Attached","Poor",139000
2250,"Average",2006,2,8536,"Average","Attached","No Fireplace",155000
4895,"Average",1990,3,12376,"Good","Attached","Average",320000
2184,"Average",2005,2,8461,"Good","Attached","Good",163990
1926,"Average",1969,2,21453,"Average","Attached","Average",180000
1855,"Average",1939,1,6060,"Average","Detached","No Fireplace",100000
2160,"Average",1958,1,9464,"Average","Attached","No Fireplace",136000
2398,"Average",1993,2,7892,"Good","Attached","No Fireplace",153900
2948,"Average",1979,2,17043,"Average","Attached","Average",181000
1274,"Average",1935,0,6780,"Average","No Garage","No Fireplace",84500
2036,"Average",1976,2,4928,"Average","Attached","Average",128000
1512,"Average",1930,0,4388,"Average","No Garage","Average",87000
2008,"Average",1966,2,7590,"Average","Attached","Fair",155000
2061,"Average",1958,2,8973,"Excellent","2+ Garages","No Fireplace",150000
3081,"Average",1966,2,14200,"Good","Attached","Good",226000
3046,"Average",2000,2,12224,"Good","Built In","Average",244000
2390,"Average",1959,2,7388,"Good","Detached","No Fireplace",150750
2563,"Above Average",2001,2,6853,"Good","Attached","No Fireplace",220000
3182,"Average",1968,2,10335,"Average","Attached","Average",180000
2986,"Average",1970,2,10400,"Average","Attached","Good",174000
2428,"Average",1967,1,10355,"Average","Attached","Fair",143000
3866,"Average",1988,3,11070,"Average","2+ Garages","No Fireplace",171000
2856,"Above Average",1999,3,9066,"Good","Attached","Average",230000
2692,"Average",1997,2,15426,"Good","Attached","No Fireplace",231500
1728,"Average",1971,0,10500,"Average","No Garage","Poor",115000
3468,"Average",2005,2,11645,"Good","Attached","No Fireplace",260000
2295,"Below Average",1952,2,8520,"Average","Detached","No Fireplace",166000
2991,"Average",1999,2,10335,"Good","Attached","No Fireplace",204000
3456,"Average",1963,2,9100,"Average","Detached","No Fireplace",125000
2679,"Average",2004,2,2522,"Good","Detached","No Fireplace",130000
1590,"Average",1931,1,6120,"Average","Detached","No Fireplace",105000
2919,"Average",2001,2,9505,"Good","Built In","Good",222500
2160,"Average",2004,0,7500,"Good","No Garage","No Fireplace",141000
2240,"Below Average",1936,1,6240,"Average","Detached","No Fireplace",115000
1938,"Average",1975,2,10356,"Average","Attached","No Fireplace",122000
3420,"Above Average",2007,3,13891,"Good","Attached","Good",372402
2818,"Average",1971,2,14803,"Average","Attached","Good",190000
2854,"Average",1960,2,13500,"Average","Attached","Good",235000
2400,"Average",1923,1,11340,"Average","Detached","No Fireplace",125000
1668,"Average",1924,0,9600,"Average","No Garage","No Fireplace",79000
1040,"Average",1950,2,7200,"Average","Detached","No Fireplace",109500
2742,"Above Average",2009,3,12003,"Excellent","Built In","Good",269500
2938,"Average",2004,2,12552,"Good","Attached","Good",254900
3854,"Average",2005,2,19378,"Good","Attached","Good",320000
2464,"Average",1984,2,11120,"Average","Attached","No Fireplace",162500
4240,"Above Average",2003,3,13688,"Excellent","Built In","Good",412500
3082,"Average",2005,2,12182,"Good","Attached","Good",220000
1764,"Average",1956,0,5500,"Average","No Garage","No Fireplace",103200
2765,"Average",1926,1,5400,"Good","Detached","No Fireplace",152000
1999,"Average",1940,0,10106,"Average","No Garage","No Fireplace",127500
3484,"Average",1955,1,10708,"Average","Attached","Good",190000
3743,"Above Average",2007,3,10562,"Excellent","Attached","Good",325624
2560,"Average",2004,2,8244,"Good","Attached","Good",183500
3393,"Above Average",1981,2,16669,"Average","Attached","Average",228000
2102,"Average",1941,2,12358,"Average","Detached","No Fireplace",128500
2736,"Average",1960,2,31770,"Average","Attached","Good",215000
2831,"Average",1987,2,5306,"Good","Attached","Average",239000
2724,"Average",1961,2,10197,"Average","Attached","Average",163000
3257,"Average",1986,2,12416,"Average","Attached","Average",184000
3360,"Average",1950,2,12615,"Good","Attached","Good",243000
3211,"Average",1988,2,10029,"Average","Attached","Average",211000
2972,"Average",1958,2,13650,"Good","Attached","Good",172500
4450,"Above Average",2008,3,17423,"Excellent","Attached","Good",501837
1936,"Average",1923,2,8520,"Average","Detached","No Fireplace",100000
2281,"Average",2000,2,2117,"Good","Detached","Average",177000
2595,"Average",1920,1,7588,"Average","Detached","Good",200100
1340,"Average",1957,1,9060,"Average","Attached","Good",120000
3444,"Average",2003,2,11426,"Good","Detached","No Fireplace",200000
1756,"Average",1908,2,7438,"Average","Attached","No Fireplace",127000
4715,"Above Average",1892,3,22950,"Excellent","Detached","Average",475000
2405,"Average",1990,2,9947,"Good","Attached","No Fireplace",173000
2316,"Average",1916,1,10410,"Average","Detached","No Fireplace",135000
2310,"Average",1979,2,7018,"Average","Detached","Average",153337
3186,"Above Average",2001,2,4923,"Excellent","Attached","Good",286000
3580,"Above Average",1932,2,10570,"Good","Detached","Average",315000
2204,"Average",1972,2,7472,"Good","Attached","No Fireplace",184000
2862,"Average",1999,2,9017,"Good","Attached","No Fireplace",192000
2679,"Average",2004,2,2522,"Good","Detached","No Fireplace",130000
1728,"Average",1972,1,7180,"Average","Detached","No Fireplace",127000
2311,"Average",1976,2,2280,"Average","Attached","Average",148500
3452,"Average",2007,3,9416,"Excellent","Attached","Good",311872
4472,"Above Average",1918,2,25419,"Good","Detached","Excellent",235000
2984,"Average",1912,0,5520,"Average","No Garage","No Fireplace",104000
3426,"Above Average",2004,3,9591,"Excellent","Attached","Good",274900
2242,"Average",2003,2,8546,"Average","Attached","No Fireplace",140000
2475,"Average",1977,2,10125,"Average","Detached","Fair",171500
1927,"Average",1924,1,7000,"Average","Attached","No Fireplace",112000
1696,"Average",2004,2,4438,"Good","Attached","Good",149000
2004,"Average",1947,1,3500,"Average","Detached","No Fireplace",110000
2866,"Average",1990,2,11851,"Average","Attached","No Fireplace",180500
2836,"Average",1962,1,13673,"Average","Attached","Average",143900
2200,"Average",1960,1,12493,"Average","Attached","Poor",141000
3219,"Average",1988,2,14364,"Average","Attached","Good",277000
2184,"Average",1964,2,8250,"Average","Attached","No Fireplace",145000
1728,"Average",1925,0,5604,"Average","No Garage","No Fireplace",98000
2424,"Average",2009,2,10420,"Good","Attached","No Fireplace",186000
2752,"Average",2009,2,8640,"Good","Attached","Average",252678
1980,"Average",1995,2,13568,"Average","Attached","No Fireplace",156000
2081,"Average",1977,1,10900,"Average","Attached","No Fireplace",161750
2306,"Average",1957,1,10011,"Good","Attached","Fair",134450
2872,"Average",2004,2,8450,"Good","Attached","No Fireplace",210000
2014,"Below Average",1925,1,9906,"Average","Detached","No Fireplace",107000
2752,"Average",1939,2,15660,"Good","Attached","Average",311500
2496,"Average",2005,2,3010,"Good","Attached","No Fireplace",167240
2996,"Average",2006,2,8990,"Good","Attached","No Fireplace",204900
3277,"Average",2002,2,8068,"Good","Built In","Average",200000
2265,"Average",1975,2,11475,"Average","Attached","Average",179900
1728,"Average",1971,2,10500,"Average","Detached","No Fireplace",97000
4784,"Above Average",2003,3,13472,"Excellent","Attached","Excellent",386250
1932,"Average",1971,1,1680,"Average","Detached","No Fireplace",112000
3723,"Average",1995,3,9950,"Good","Attached","Average",290000
1470,"Average",1970,1,1869,"Average","Detached","No Fireplace",106000
1824,"Average",1967,1,8521,"Average","Detached","Fair",125000
2928,"Average",2005,2,3182,"Good","Attached","Average",192500
2388,"Average",1959,1,8760,"Average","Attached","No Fireplace",148000
4256,"Above Average",1995,3,15138,"Excellent","Attached","Average",403000
1470,"Average",1972,1,1680,"Average","Attached","Poor",94500
1788,"Average",1976,1,10650,"Average","Attached","No Fireplace",128200
2820,"Average",2002,2,7851,"Good","Built In","Average",216500
1470,"Below Average",1971,1,1680,"Average","Detached","No Fireplace",89500
2828,"Average",2004,2,8773,"Good","Attached","No Fireplace",185500
2740,"Average",1993,2,9453,"Good","Attached","No Fireplace",194500
3388,"Above Average",2007,3,12030,"Good","Attached","No Fireplace",318000
2222,"Below Average",1945,1,8741,"Average","Detached","Good",113000
3132,"Above Average",2008,2,9000,"Good","Attached","No Fireplace",262500
1552,"Average",1945,0,3880,"Good","No Garage","No Fireplace",110500
1980,"Below Average",1900,1,5000,"Average","Attached","No Fireplace",79000
1843,"Average",1980,1,10762,"Average","Attached","Average",120000
3058,"Average",1994,2,8880,"Good","Attached","Fair",205000
3717,"Average",1988,2,10400,"Average","Attached","Average",241500
2948,"Average",1910,1,9142,"Fair","Detached","No Fireplace",137000
2742,"Average",1954,2,11310,"Average","Attached","Average",140000
2508,"Average",2003,2,11317,"Good","Attached","No Fireplace",180000
3588,"Average",1958,2,159000,"Good","Attached","Average",277000
2034,"Below Average",1940,0,5350,"Fair","No Garage","No Fireplace",76500
3198,"Above Average",2006,2,4750,"Good","Attached","Good",235000
2438,"Average",2004,2,8366,"Good","Attached","No Fireplace",173000
2604,"Average",1964,1,9350,"Good","Attached","No Fireplace",158000
2628,"Average",1957,1,8400,"Average","Attached","No Fireplace",145000
3266,"Average",1999,2,8738,"Good","Built In","Average",230000
2592,"Average",2003,2,8791,"Good","Attached","No Fireplace",207500
3208,"Average",2006,2,8814,"Good","Attached","Good",220000
2755,"Average",2001,2,12435,"Good","Attached","Average",231500
882,"Average",1956,1,12702,"Average","Detached","No Fireplace",97000
2744,"Average",1962,2,19296,"Average","Attached","Average",176000
4056,"Above Average",2007,3,9588,"Excellent","Built In","Good",276000
1718,"Average",1977,2,8471,"Average","Attached","Average",151000
2242,"Average",1929,2,5500,"Average","Detached","No Fireplace",130000
1444,"Average",1925,2,5232,"Average","Detached","No Fireplace",73000
2844,"Average",1981,2,12090,"Good","Attached","Average",175500
2313,"Average",1997,2,11207,"Average","Attached","Average",185000
2912,"Average",1939,1,8400,"Good","Detached","Good",179500
1518,"Average",1940,1,6900,"Average","Detached","Good",120500
2256,"Average",1976,1,7917,"Average","Attached","Fair",148000
3034,"Above Average",2006,3,10728,"Good","Attached","Good",266000
2748,"Average",1954,2,39104,"Average","Attached","Average",241500
3422,"Above Average",1999,3,11764,"Good","Attached","Good",290000
2872,"Average",1958,1,9600,"Average","Attached","Good",139000
1632,"Average",1982,1,8314,"Average","Attached","No Fireplace",124500
2500,"Average",1925,2,7264,"Excellent","Detached","No Fireplace",205000
3120,"Average",2003,2,9196,"Good","Attached","No Fireplace",201000
1728,"Average",1951,2,19138,"Average","Detached","No Fireplace",141000
4242,"Above Average",2006,3,14450,"Excellent","Attached","Excellent",415298
3182,"Average",1977,2,10005,"Average","Attached","Average",192000
2789,"Average",1989,2,11287,"Good","Attached","Average",228500
2524,"Average",2006,2,7200,"Good","Attached","No Fireplace",185000
2628,"Average",2007,2,5063,"Good","Attached","Good",207500
2936,"Above Average",2008,3,9612,"Good","Attached","Good",244600
3150,"Average",1992,2,8012,"Good","Attached","No Fireplace",179200
1875,"Average",2006,2,4251,"Good","Detached","No Fireplace",164700
2646,"Average",1962,2,9786,"Good","Attached","Good",159000
1716,"Below Average",1971,0,8125,"Average","No Garage","No Fireplace",88000
1782,"Average",1967,1,9819,"Average","Detached","No Fireplace",122000
2094,"Average",1915,1,8730,"Average","Detached","No Fireplace",153575
2998,"Above Average",2006,2,15611,"Good","Attached","Good",233230
2496,"Average",1912,0,5687,"Fair","No Garage","No Fireplace",135900
2484,"Below Average",1949,1,11409,"Average","Attached","Good",131000
3058,"Average",1977,2,16659,"Good","Attached","Average",235000
3060,"Average",1953,2,9600,"Average","Attached","Good",167000
2006,"Average",1984,2,7937,"Average","Detached","No Fireplace",142500
2468,"Average",1950,1,13710,"Average","Attached","No Fireplace",152000
2925,"Average",1997,2,7399,"Good","Detached","Average",239000
2445,"Average",1968,2,11700,"Average","Attached","Good",175000
2244,"Average",1950,1,14000,"Good","Attached","Good",158500
2501,"Average",1953,1,15750,"Average","Attached","Good",157000
3480,"Above Average",1998,2,16226,"Good","Built In","Average",267000
3082,"Average",2001,3,13704,"Good","Attached","Average",205000
1788,"Average",1972,2,9800,"Average","Attached","No Fireplace",149900
4963,"Average",1880,3,18386,"Good","Attached","Excellent",295000
4000,"Above Average",2004,3,10386,"Good","Attached","No Fireplace",305900
2943,"Average",1990,3,13474,"Good","Attached","Average",225000
1725,"Average",1920,0,7920,"Fair","No Garage","No Fireplace",89500
1722,"Average",1940,2,12342,"Average","Detached","No Fireplace",82500
3840,"Above Average",2003,3,12378,"Excellent","Attached","Excellent",360000
2198,"Average",1993,2,7685,"Good","Attached","Average",165600
1944,"Average",1948,1,8000,"Average","Detached","Good",132000
1911,"Average",1939,2,7800,"Average","Detached","Good",119900
4172,"Average",1965,2,215245,"Average","Attached","Good",375000
2369,"Average",1925,2,9600,"Excellent","Detached","Good",178000
2148,"Average",2004,2,7795,"Good","Attached","Good",188500
3198,"Average",1980,2,13005,"Excellent","Attached","Average",260000
3047,"Above Average",2006,3,9000,"Good","Attached","Good",270000
3993,"Average",1993,3,9900,"Good","Attached","Average",260000
2844,"Average",1980,2,14115,"Average","Attached","Average",187500
3845,"Above Average",2006,3,16259,"Good","Attached","No Fireplace",342643
3604,"Above Average",2004,3,12099,"Good","Built In","Good",354000
4232,"Average",1986,2,10380,"Good","Attached","Average",301000
2325,"Average",1955,1,5820,"Average","Attached","No Fireplace",126175
3688,"Average",1967,2,11275,"Good","Built In","Good",242000
1523,"Average",1941,2,5000,"Average","Detached","No Fireplace",87000
3438,"Above Average",1993,2,10846,"Good","Attached","Good",324000
2766,"Average",1960,1,11600,"Average","Attached","No Fireplace",145250
2978,"Average",1916,2,11888,"Good","Detached","No Fireplace",214500
1788,"Average",1920,1,6402,"Average","Detached","No Fireplace",78000
3456,"Below Average",1964,1,10624,"Average","Detached","No Fireplace",119000
2112,"Average",1958,1,8176,"Average","Attached","No Fireplace",139000
4835,"Above Average",2003,3,10655,"Good","Attached","Good",284000
2716,"Average",2004,2,8198,"Good","Attached","Good",207000
2581,"Average",1998,2,9042,"Average","Attached","Average",192000
3285,"Average",1965,2,164660,"Average","Attached","Good",228950
3844,"Above Average",2005,3,14157,"Good","Attached","Good",377426
3072,"Average",2002,2,9135,"Good","Attached","No Fireplace",214000
2829,"Average",1984,2,14145,"Good","Attached","No Fireplace",202500
2430,"Average",1958,1,12400,"Average","Attached","No Fireplace",155000
2875,"Above Average",2002,2,14191,"Good","Attached","No Fireplace",202900
1562,"Below Average",1950,1,8400,"Average","Car Port","No Fireplace",82000
1040,"Below Average",1949,2,8544,"Average","Detached","No Fireplace",87500
3368,"Above Average",2005,2,8849,"Excellent","Attached","Excellent",266000
1648,"Below Average",1976,1,2592,"Average","Attached","No Fireplace",85000
2549,"Average",1939,1,6435,"Fair","Detached","Good",140200
1916,"Average",1960,1,12772,"Average","Attached","No Fireplace",151500
2956,"Average",1960,2,17600,"Average","Attached","Good",157500
2390,"Average",2003,2,2448,"Good","Built In","No Fireplace",154000
4576,"Above Average",2005,3,20431,"Excellent","Attached","Excellent",437154
3738,"Above Average",2007,2,7820,"Excellent","Attached","Good",318061
2906,"Average",1986,2,5271,"Good","Attached","Average",190000
1727,"Average",1941,1,9084,"Average","Detached","No Fireplace",95000
1344,"Average",1928,2,8520,"Average","Detached","No Fireplace",105900
2535,"Average",1940,1,8400,"Average","Attached","Good",140000
2400,"Average",1995,2,11249,"Good","Attached","No Fireplace",177500
2325,"Average",1992,2,9248,"Good","Attached","No Fireplace",173000
2284,"Average",1976,2,4224,"Average","Attached","Poor",134000
2414,"Below Average",1958,1,6930,"Good","Built In","No Fireplace",130000
3010,"Above Average",1998,2,12011,"Good","Attached","Average",280000
1800,"Average",1978,2,7540,"Average","Attached","Average",156000
2388,"Average",1940,1,9144,"Average","Detached","No Fireplace",145000
1922,"Average",2003,2,7301,"Good","Built In","Excellent",198500
1470,"Average",1972,1,1680,"Good","Detached","No Fireplace",118000
2370,"Average",1976,2,18800,"Average","Attached","Average",190000
2016,"Average",1920,1,10690,"Average","Detached","No Fireplace",147000
2788,"Average",1963,2,9500,"Average","Attached","Good",159000
2530,"Average",1962,1,9150,"Average","Basement Garage","Good",165000
2536,"Average",1954,1,7800,"Average","Attached","Good",132000
2350,"Average",1959,2,9830,"Good","Detached","Good",162000
2617,"Average",2000,2,8121,"Average","Attached","Average",172400
1588,"Below Average",1959,2,17120,"Average","Detached","Good",134432
1496,"Average",1984,1,7175,"Average","Attached","No Fireplace",125000
1927,"Average",1953,1,10634,"Average","Attached","No Fireplace",123000
2775,"Average",2003,2,8200,"Good","Built In","Good",219500
1587,"Below Average",1922,0,10020,"Fair","No Garage","No Fireplace",61000
1784,"Average",1996,2,8846,"Average","Detached","No Fireplace",148000
4046,"Above Average",2004,2,11143,"Good","Attached","Good",340000
3712,"Above Average",2010,3,11394,"Excellent","Attached","Excellent",394432
2782,"Average",2000,2,8123,"Average","Attached","Average",179000
2717,"Average",1924,1,5000,"Good","Detached","Good",127000
2594,"Average",2006,2,7200,"Good","Attached","Good",187750
2736,"Average",2006,2,9245,"Good","Attached","No Fireplace",213500
1568,"Below Average",1928,2,9000,"Average","Detached","No Fireplace",76000
3533,"Average",1992,2,53107,"Good","Attached","Fair",240000
2525,"Above Average",2004,2,3182,"Good","Attached","Average",192000
1842,"Below Average",1910,0,8410,"Average","No Garage","No Fireplace",81000
2166,"Average",1976,1,7200,"Average","Detached","Fair",125000
2947,"Average",1999,2,9382,"Good","Attached","No Fireplace",191000
4014,"Above Average",2007,3,12474,"Excellent","Built In","Excellent",426000
2228,"Average",1900,1,8405,"Average","Detached","No Fireplace",119000
2765,"Average",2001,2,12209,"Good","Built In","Average",215000
882,"Average",1959,1,8339,"Average","Attached","No Fireplace",106500
1576,"Average",1941,0,7446,"Average","No Garage","Average",100000
1769,"Average",1940,1,10134,"Average","Detached","No Fireplace",109000
2288,"Average",1956,1,9571,"Average","Attached","No Fireplace",129000
1788,"Average",1972,2,7200,"Average","Detached","No Fireplace",123000
2676,"Average",1962,1,7590,"Average","Attached","Average",169500
2038,"Below Average",1920,1,8967,"Average","Detached","No Fireplace",67000
2642,"Average",2006,2,8125,"Good","Attached","No Fireplace",241000
2548,"Above Average",1996,2,14963,"Excellent","Attached","Good",245500
2620,"Average",2005,2,8767,"Good","Attached","Good",164990
1344,"Average",1940,1,10200,"Average","Detached","No Fireplace",108000
3404,"Above Average",1998,2,12090,"Good","Built In","Average",258000
2378,"Average",1995,2,10364,"Average","Built In","Average",168000
2901,"Below Average",1976,2,9991,"Average","Attached","Average",150000
2703,"Average",1936,1,10480,"Average","Detached","No Fireplace",115000
2520,"Average",1915,1,15576,"Average","Attached","No Fireplace",177000
3235,"Average",2006,3,14154,"Good","Attached","Good",280000
3112,"Above Average",2007,3,10800,"Excellent","Attached","Good",339750
2552,"Below Average",1958,1,9571,"Average","Attached","No Fireplace",60000
2112,"Average",1955,2,34650,"Average","Attached","No Fireplace",145000
2948,"Average",2009,2,4403,"Good","Attached","Good",222000
2036,"Average",1927,2,8960,"Average","Detached","Good",115000
3177,"Average",1993,3,11228,"Good","Attached","Average",228000
2680,"Average",2007,2,8899,"Good","Attached","No Fireplace",181134
2072,"Average",1978,2,7844,"Average","Attached","Average",149500
3994,"Average",1918,3,22420,"Average","Detached","Good",239000
1890,"Average",1940,1,8160,"Average","Detached","No Fireplace",126000
2112,"Average",1968,1,8450,"Average","Attached","Fair",142000
2688,"Average",1997,4,7060,"Average","Attached","No Fireplace",206300
3204,"Average",1977,2,16635,"Good","Attached","Average",215000
1976,"Average",1954,2,21750,"Average","Attached","No Fireplace",113000
4100,"Above Average",1998,3,9200,"Good","Attached","Average",315000
2392,"Average",1956,1,9000,"Average","Attached","Good",139000
2040,"Average",1946,1,3378,"Average","Detached","Good",135000
3162,"Average",1989,2,12800,"Good","Attached","Average",275000
1814,"Average",1957,1,8593,"Average","Detached","No Fireplace",109008
2416,"Average",2007,2,6762,"Good","Attached","No Fireplace",195400
2804,"Average",1988,2,11457,"Good","Attached","Average",175000
1470,"Average",1971,1,1680,"Average","Detached","No Fireplace",85400
2099,"Average",1920,0,5586,"Average","No Garage","No Fireplace",79900
2130,"Average",1971,2,1920,"Average","Detached","No Fireplace",122500
2530,"Average",1997,2,10839,"Average","Attached","Average",181000
1260,"Average",1972,0,1890,"Average","No Garage","No Fireplace",81000
2460,"Average",1996,2,10667,"Good","Attached","Average",212000
1766,"Average",1920,2,4400,"Average","Detached","No Fireplace",116000
1788,"Average",1926,1,6000,"Average","Detached","No Fireplace",119000
