,LotFrontage,LotArea,Street,Alley,Utilities,LotConfig,LandSlope,YearBuilt,YearRemodAdd,HeatingQC,X1stFlrSF,X2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,X3SsnPorch,MoSold,YrSold,ByRR,ByHWY,ByFeeder,ByPositiveFeature,Remodeled,Exterior,HasMasonVeneer,HasBasement,HasGarage,StoneBrook,NorthridgeHeights,Northridge,Crawford,OverallCond2,OverallQual2,ExterQual2,Foundation2,SalePriceT
14,91,10652,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2006,2007,Ex,1494,0,2,0,3,1,7,1,0,8,2007,0,0,0,0,1,Vinyl,1,1,1,0,0,0,0,Average,Average,Above Average,Poured Concrete,279500
15,70.04995837,10920,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1960,1960,TA,1253,0,1,1,2,1,5,1,0,5,2008,0,0,0,0,0,Metal,1,1,1,0,0,0,0,Average,Average,Average,Cinder Block,157000
16,51,6120,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1929,2001,Ex,854,0,1,0,2,1,5,0,0,7,2007,0,0,0,0,1,Wood Siding,1,1,1,0,0,0,0,Above Average,Average,Average,Brick/Tile,132000
17,70.04995837,11241,Paved,0,All Public Utilities,Cul-de-sac,Gentle Slope,1970,1970,Ex,1004,0,1,0,2,1,5,1,0,3,2010,0,0,0,0,0,Wood Siding,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,149000
18,72,10791,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1967,1967,TA,1296,0,2,0,2,2,6,0,0,10,2006,0,0,0,0,0,Metal,1,0,1,0,0,0,0,Average,Average,Average,Other,90000
19,66,13695,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2004,2004,Ex,1114,0,1,1,3,1,6,0,0,6,2008,1,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Average,Average,Poured Concrete,159000
20,70,7560,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1958,1965,TA,1339,0,1,0,3,1,6,0,0,5,2009,0,0,0,0,1,Plywood,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,139000
21,101,14215,Paved,0,All Public Utilities,Corner Log,Gentle Slope,2005,2006,Ex,1158,1218,3,1,4,1,9,1,0,11,2006,0,0,0,0,1,Vinyl,1,1,1,0,1,0,0,Average,Above Average,Above Average,Poured Concrete,325300
22,57,7449,Paved,1,All Public Utilities,Inside Lot,Gentle Slope,1930,1950,Ex,1108,0,1,0,3,1,6,1,0,6,2007,0,0,0,0,1,Wood Siding,1,1,1,0,0,0,0,Above Average,Average,Average,Poured Concrete,139400
23,75,9742,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2002,2002,Ex,1795,0,2,0,3,1,7,1,0,9,2008,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Above Average,Above Average,Poured Concrete,230000
24,44,4224,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1976,1976,TA,1060,0,1,0,3,1,6,1,0,6,2007,0,0,0,0,0,Other,1,1,1,0,0,0,0,Above Average,Average,Average,Poured Concrete,129900
25,70.04995837,8246,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1968,2001,Ex,1060,0,1,0,3,1,6,1,0,5,2010,0,0,0,0,1,Plywood,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,154000
26,110,14230,Paved,0,All Public Utilities,Corner Log,Gentle Slope,2007,2007,Ex,1600,0,2,0,3,1,7,1,0,7,2009,0,0,0,0,0,Vinyl,1,1,1,0,1,0,0,Average,Above Average,Above Average,Poured Concrete,256300
27,60,7200,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1951,2000,TA,900,0,1,0,3,1,5,0,0,5,2010,0,0,0,0,1,Wood Siding,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,134800
28,98,11478,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2007,2008,Ex,1704,0,2,0,3,1,7,1,0,5,2010,0,0,0,0,1,Vinyl,1,1,1,0,1,0,0,Average,Above Average,Above Average,Poured Concrete,306000
29,47,16321,Paved,0,All Public Utilities,Cul-de-sac,Gentle Slope,1957,1997,TA,1600,0,1,0,2,1,6,2,0,12,2006,0,0,0,0,1,Metal,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,207500
30,60,6324,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1927,1950,Fa,520,0,1,0,1,1,4,0,0,5,2008,1,0,1,0,1,Metal,1,1,1,0,0,0,0,Above Average,Average,Average,Brick/Tile,68500
31,50,8500,Paved,1,All Public Utilities,Inside Lot,Gentle Slope,1920,1950,TA,649,668,1,0,3,1,6,0,0,7,2008,0,0,1,0,1,Other,1,1,1,0,0,0,0,Below Average,Below Average,Average,Brick/Tile,40000
32,70.04995837,8544,Paved,0,All Public Utilities,Cul-de-sac,Gentle Slope,1966,2006,Gd,1228,0,1,1,3,1,6,0,0,6,2008,0,0,0,0,1,Hard Board,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,149350
33,85,11049,Paved,0,All Public Utilities,Corner Log,Gentle Slope,2007,2007,Ex,1234,0,2,0,3,1,7,0,0,1,2008,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Above Average,Above Average,Poured Concrete,179900
34,70,10552,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1959,1959,Gd,1700,0,1,1,4,1,6,1,0,4,2010,0,0,0,0,0,Other,1,1,1,0,0,0,0,Average,Average,Average,Cinder Block,165500
35,60,7313,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2005,2005,Ex,1561,0,2,0,2,1,6,1,0,8,2007,0,0,0,0,0,Metal,1,1,1,0,1,0,0,Average,Above Average,Above Average,Poured Concrete,277500
36,108,13418,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2004,2005,Ex,1132,1320,3,1,4,1,9,1,0,9,2006,0,0,0,0,1,Vinyl,1,1,1,0,1,0,0,Average,Above Average,Above Average,Poured Concrete,309000
37,112,10859,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1994,1995,Ex,1097,0,1,1,3,1,6,0,0,6,2009,0,0,0,0,1,Vinyl,1,1,1,0,0,0,0,Average,Average,Average,Poured Concrete,145000
38,74,8532,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1954,1990,Gd,1297,0,1,0,3,1,5,1,0,10,2009,0,0,0,0,1,Wood Siding,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,153000
39,68,7922,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1953,2007,TA,1057,0,1,0,3,1,5,0,0,1,2010,0,0,0,0,1,Vinyl,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,109000
40,65,6040,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1955,1955,TA,1152,0,2,0,2,2,6,0,0,6,2008,0,0,0,0,0,Plywood,1,0,0,0,0,0,0,Average,Average,Average,Poured Concrete,82000
41,84,8658,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1965,1965,Ex,1324,0,2,0,3,1,6,1,0,12,2006,0,0,0,0,0,Wood Siding,1,1,1,0,0,0,0,Average,Average,Average,Cinder Block,160000
42,115,16905,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1959,1959,Gd,1328,0,1,1,2,1,5,2,0,7,2007,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,170000
43,70.04995837,9180,Paved,0,All Public Utilities,Cul-de-sac,Gentle Slope,1983,1983,Gd,884,0,1,0,2,1,5,0,0,12,2007,0,0,0,0,0,Hard Board,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,144000
44,70.04995837,9200,Paved,0,All Public Utilities,Cul-de-sac,Gentle Slope,1975,1980,TA,938,0,1,0,3,1,5,0,0,7,2008,0,0,0,0,1,Vinyl,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,130250
45,70,7945,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1959,1959,Ex,1150,0,1,0,3,1,6,0,0,5,2006,0,0,0,0,0,Wood Siding,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,141000
46,61,7658,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2005,2005,Ex,1752,0,2,0,2,1,6,1,0,2,2010,0,0,0,0,0,Metal,1,1,1,0,1,0,0,Average,Above Average,Above Average,Poured Concrete,319900
47,48,12822,Paved,0,All Public Utilities,Cul-de-sac,Gentle Slope,2003,2003,Ex,1518,631,1,1,1,1,6,1,0,8,2009,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Average,Above Average,Poured Concrete,239686
48,84,11096,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2006,2006,Ex,1656,0,2,0,3,1,7,0,0,7,2007,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Above Average,Above Average,Poured Concrete,249700
49,33,4456,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1920,2008,Gd,736,716,2,0,2,3,8,0,0,6,2009,0,0,0,0,1,Metal,1,1,0,0,0,0,0,Average,Average,Average,Brick/Tile,113000
50,66,7742,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1966,1966,Ex,955,0,1,0,3,1,6,0,0,1,2007,0,0,0,0,0,Hard Board,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,127000
51,70.04995837,13869,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1997,1997,Gd,794,676,2,0,3,1,6,0,0,7,2007,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Above Average,Average,Average,Poured Concrete,177000
52,52,6240,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1934,1950,TA,816,0,1,0,3,1,6,1,0,9,2006,0,0,0,0,1,Wood Siding,1,1,1,0,0,0,0,Above Average,Average,Average,Poured Concrete,114500
53,110,8472,Gravel,0,All Public Utilities,Corner Log,Moderate Slope,1963,1963,TA,816,0,1,0,2,1,5,0,0,5,2010,1,0,0,0,0,Wood Siding,1,1,1,0,0,0,0,Average,Average,Below Average,Cinder Block,110000
54,68,50271,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1981,1987,Gd,1842,0,0,1,0,1,5,1,0,11,2006,0,0,0,0,1,Other,1,1,1,0,0,0,0,Average,Above Average,Above Average,Cinder Block,385000
55,60,7134,Paved,0,All Public Utilities,Inside Lot,Moderate Slope,1955,1955,TA,1360,0,1,0,3,1,6,1,0,2,2007,0,0,0,0,0,Metal,1,1,1,0,0,0,0,Average,Average,Average,Cinder Block,130000
56,100,10175,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1964,1964,Gd,1425,0,2,0,3,1,7,1,407,7,2008,0,0,0,0,0,Hard Board,1,1,1,0,0,0,0,Average,Average,Average,Cinder Block,180500
57,24,2645,Paved,1,All Public Utilities,Inside Lot,Gentle Slope,1999,2000,Ex,983,756,2,1,3,1,7,0,0,8,2009,0,0,0,0,1,Metal,1,1,1,0,0,0,0,Average,Above Average,Above Average,Poured Concrete,172500
58,89,11645,Paved,0,All Public Utilities,Corner Log,Gentle Slope,2004,2004,Ex,860,860,2,1,3,1,7,0,0,8,2006,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Average,Above Average,Poured Concrete,196500
59,66,13682,Paved,0,All Public Utilities,Cul-de-sac,Gentle Slope,2006,2006,Ex,1426,1519,3,1,3,1,10,1,0,10,2006,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Above Average,Above Average,Poured Concrete,438780
60,60,7200,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1972,1972,Ex,780,0,1,0,2,1,4,0,0,1,2008,0,0,0,0,0,Hard Board,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,124900
61,63,13072,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2004,2004,Ex,1158,0,1,1,3,1,5,0,0,5,2006,1,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Average,Average,Poured Concrete,158000
62,60,7200,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1920,1996,TA,581,530,1,0,3,1,6,0,0,3,2007,0,0,0,0,1,Metal,1,1,1,0,0,0,0,Above Average,Average,Average,Brick/Tile,101000
63,44,6442,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2006,2006,Ex,1370,0,2,0,2,1,6,1,0,10,2007,0,0,0,0,0,Vinyl,1,1,1,0,1,0,0,Average,Above Average,Above Average,Poured Concrete,202500
64,50,10300,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1921,1950,Gd,902,808,2,0,3,1,9,0,0,4,2010,1,0,1,0,1,Other,1,1,1,0,0,0,0,Above Average,Average,Average,Brick/Tile,140000
65,70.04995837,9375,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1997,1998,Ex,1057,977,2,1,3,1,8,0,0,2,2009,0,0,0,0,1,Vinyl,1,1,1,0,0,0,0,Average,Average,Average,Poured Concrete,219500
66,76,9591,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2004,2005,Ex,1143,1330,2,1,4,1,9,1,0,10,2007,0,0,0,0,1,Vinyl,1,1,1,0,1,0,0,Average,Above Average,Above Average,Poured Concrete,317000
67,70.04995837,19900,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1970,1989,TA,2207,0,2,0,3,1,7,1,0,7,2010,0,0,0,0,1,Plywood,1,1,1,0,0,0,0,Average,Average,Average,Cinder Block,180000
68,72,10665,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2003,2003,Ex,1479,0,2,0,3,1,7,0,0,6,2007,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Average,Above Average,Poured Concrete,226000
69,47,4608,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1945,1950,TA,747,0,1,0,2,1,4,0,0,6,2010,0,1,0,0,1,Metal,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,80000
70,81,15593,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1953,1953,TA,1304,983,2,0,3,1,7,1,0,7,2006,0,0,0,0,0,Other,1,1,1,0,0,0,0,Below Average,Below Average,Above Average,Cinder Block,225000
71,95,13651,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1973,1973,Ex,2223,0,2,0,3,1,8,2,0,2,2007,0,0,0,0,0,Plywood,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,244000
72,69,7599,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1982,2006,TA,845,0,1,0,2,1,4,0,0,6,2007,0,0,0,0,1,Hard Board,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,129500
73,74,10141,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1998,1998,Gd,885,833,2,1,3,1,7,1,0,12,2009,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Average,Average,Poured Concrete,185000
74,85,10200,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1954,2003,Gd,1086,0,1,0,3,1,6,0,0,5,2010,0,0,0,0,1,Wood Siding,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,144900
75,60,5790,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1915,1950,Gd,840,765,2,0,3,2,8,0,0,5,2010,0,0,0,0,1,Vinyl,1,1,1,0,0,0,0,Above Average,Average,Above Average,Cinder Block,107400
76,21,1596,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1973,1973,TA,526,462,1,0,2,1,5,0,0,11,2009,0,0,0,0,0,Other,1,1,1,0,0,0,0,Average,Average,Average,Cinder Block,91000
77,70.04995837,8475,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1956,1956,Ex,952,0,1,0,2,1,4,0,0,4,2008,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,135750
78,50,8635,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1948,2001,TA,1072,213,1,0,2,1,6,0,0,1,2008,0,0,0,0,1,Wood Siding,1,1,1,0,0,0,0,Average,Average,Average,Cinder Block,127000
79,72,10778,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1968,1968,TA,1768,0,2,0,4,2,8,0,0,4,2010,0,0,0,0,0,Hard Board,1,1,0,0,0,0,0,Average,Average,Average,Cinder Block,136500
80,60,10440,Paved,1,All Public Utilities,Corner Log,Gentle Slope,1910,1981,Gd,682,548,1,1,2,1,5,0,0,5,2009,0,0,0,0,1,Wood Siding,1,1,1,0,0,0,0,Above Average,Average,Average,Poured Concrete,110000
81,100,13000,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1968,1968,TA,1182,960,2,1,4,1,8,1,0,6,2009,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,193500
82,32,4500,Paved,0,All Public Utilities,Frontage on 2 sides of property,Gentle Slope,1998,1998,Ex,1337,0,2,0,2,1,5,0,0,3,2006,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Average,Average,Poured Concrete,153500
83,78,10206,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2007,2007,Ex,1563,0,2,0,3,1,6,1,0,10,2008,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Above Average,Average,Poured Concrete,245000
84,80,8892,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1960,1960,Gd,1065,0,1,1,3,1,6,0,0,7,2007,0,0,0,0,0,Metal,1,1,1,0,0,0,0,Average,Average,Average,Cinder Block,126500
85,70.04995837,8530,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1995,1996,Gd,804,670,2,1,3,1,7,1,0,5,2009,0,0,0,0,1,Hard Board,1,1,1,0,0,0,0,Average,Average,Average,Poured Concrete,168500
86,121,16059,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1991,1992,Ex,1301,1116,2,1,4,1,9,1,0,4,2006,0,0,0,0,1,Hard Board,1,1,1,0,0,1,0,Average,Above Average,Above Average,Cinder Block,260000
87,122,11911,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2005,2005,Ex,684,876,2,1,3,1,6,1,0,3,2009,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Average,Above Average,Poured Concrete,174000
88,40,3951,Paved,1,All Public Utilities,Corner Log,Gentle Slope,2009,2009,Ex,612,612,2,1,2,1,4,0,0,6,2009,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Average,Above Average,Poured Concrete,164500
89,105,8470,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1915,1982,TA,1013,0,1,0,2,1,6,0,0,10,2009,0,0,1,0,1,Plywood,1,1,0,0,0,0,0,Below Average,Below Average,Below Average,Cinder Block,85000
90,60,8070,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1994,1995,Ex,990,0,1,0,3,1,5,0,0,8,2007,0,0,0,0,1,Vinyl,1,1,0,0,0,0,0,Average,Average,Average,Poured Concrete,123600
91,60,7200,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1950,1950,TA,1040,0,1,0,2,1,4,0,0,7,2006,0,0,0,0,0,Wood Siding,1,0,1,0,0,0,0,Average,Average,Average,Other,109900
92,85,8500,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1961,1961,TA,1235,0,1,0,2,1,6,0,0,12,2006,0,0,0,0,0,Hard Board,1,1,1,0,0,0,0,Below Average,Below Average,Average,Cinder Block,98600
93,80,13360,Paved,1,All Public Utilities,Inside Lot,Gentle Slope,1921,2006,Ex,964,0,1,0,2,1,5,0,0,8,2009,0,0,0,0,1,Wood Siding,1,1,1,0,0,0,1,Above Average,Average,Average,Brick/Tile,163500
94,60,7200,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1910,1998,Ex,1260,1031,2,0,4,2,9,1,0,11,2007,0,0,0,0,1,Metal,1,1,1,0,0,0,0,Above Average,Average,Average,Brick/Tile,133900
95,69,9337,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1997,1997,Ex,905,881,2,1,3,1,7,0,0,5,2007,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Average,Average,Poured Concrete,204750
96,70.04995837,9765,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1993,1993,Gd,680,790,2,1,3,1,6,1,0,4,2009,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Above Average,Average,Above Average,Poured Concrete,185000
97,78,10264,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1999,1999,Ex,1588,0,2,0,3,1,6,0,0,8,2006,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Average,Above Average,Poured Concrete,214000
98,73,10921,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1965,1965,TA,960,0,1,0,3,1,6,0,0,5,2007,0,0,0,0,0,Hard Board,1,1,1,0,0,0,0,Average,Average,Average,Cinder Block,94750
99,85,10625,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1920,1950,Fa,835,0,1,0,2,1,5,0,0,5,2010,0,0,0,0,1,Wood Siding,1,1,1,0,0,0,0,Average,Average,Average,Brick/Tile,83000
100,77,9320,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1959,1959,Fa,1225,0,1,1,3,1,6,0,0,1,2010,0,0,0,0,0,Plywood,1,1,0,0,0,0,0,Average,Average,Average,Cinder Block,128950
101,70.04995837,10603,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1977,2001,Gd,1610,0,2,0,3,1,6,2,0,2,2010,0,0,0,0,1,Plywood,1,1,1,0,0,0,0,Above Average,Average,Average,Poured Concrete,205000
102,77,9206,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1985,1985,TA,977,755,2,1,3,1,7,1,0,6,2010,0,0,0,0,0,Hard Board,1,1,1,0,0,0,0,Average,Average,Above Average,Cinder Block,178000
103,64,7018,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1979,1979,TA,1535,0,2,0,4,2,8,0,0,6,2009,0,0,0,0,0,Hard Board,1,0,1,0,0,0,0,Average,Average,Average,Other,118964
104,94,10402,Paved,0,All Public Utilities,Corner Log,Gentle Slope,2009,2009,Ex,1226,0,2,0,3,1,6,0,0,5,2010,0,0,0,0,0,Vinyl,1,1,1,0,0,0,0,Average,Average,Average,Poured Concrete,198900
105,70.04995837,7758,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1931,1950,Ex,1226,592,1,1,4,1,7,2,0,6,2007,0,0,0,0,1,Other,1,1,1,0,0,0,0,Below Average,Below Average,Average,Poured Concrete,169500
106,75,9375,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,2003,2004,Ex,1053,939,2,1,3,1,9,1,0,8,2008,0,0,0,0,1,Vinyl,1,1,1,0,0,0,0,Average,Above Average,Above Average,Poured Concrete,250000
107,60,10800,Paved,1,All Public Utilities,Inside Lot,Gentle Slope,1885,1995,Gd,1047,0,1,0,2,1,6,0,0,8,2007,0,0,0,0,1,Vinyl,1,1,1,0,0,0,0,Above Average,Average,Average,Brick/Tile,100000
108,50,6000,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1948,1950,Ex,789,0,1,0,2,1,5,0,0,4,2008,0,0,0,0,1,Vinyl,1,1,1,0,0,0,0,Average,Average,Average,Cinder Block,115000
109,85,8500,Paved,0,All Public Utilities,Corner Log,Gentle Slope,1919,2005,TA,997,520,2,0,3,1,7,0,0,8,2007,0,1,0,0,1,Other,1,1,0,0,0,0,0,Above Average,Average,Average,Cinder Block,115000
110,105,11751,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1977,1977,Ex,1844,0,2,0,3,1,7,1,0,1,2010,0,0,0,0,0,Plywood,1,1,1,0,0,0,0,Above Average,Average,Average,Cinder Block,190000
111,75,9525,Paved,0,All Public Utilities,Inside Lot,Gentle Slope,1954,1972,Gd,1216,639,2,0,4,1,7,0,0,10,2006,0,0,0,0,1,Wood Siding,1,1,1,0,0,0,0,Below Average,Below Average,Average,Cinder Block,136900
